hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,animal name
1.0,-0.4279,-0.8174,0.8785,-0.1984,-0.4736,-0.1548,0.4925,0.1917,0.4411,-0.1042,-0.2803,0.394,0.049,0.2072,0.455,-0.1091
-0.4279,1.0,0.4192,-0.4108,0.6566,-0.0586,-0.1044,-0.6136,0.2314,0.2546,-0.1457,-0.2235,-0.2067,0.2926,0.0316,-0.1359,0.0585
-0.8174,0.4192,1.0,-0.9388,0.3766,0.3762,0.0116,-0.6422,-0.3404,-0.3828,0.0987,0.1648,-0.2249,-0.2211,-0.1556,-0.5147,0.1135
0.8785,-0.4108,-0.9388,1.0,-0.3668,-0.3626,-0.0297,0.6282,0.385,0.4235,-0.2424,-0.1563,0.2142,0.21,0.1639,0.5749,-0.1382
-0.1984,0.6566,0.3766,-0.3668,1.0,-0.1726,-0.2952,-0.5943,-0.1047,0.286,0.0085,-0.2512,0.0437,0.0095,0.0633,-0.3498,0.0483
-0.4736,-0.0586,0.3762,-0.3626,-0.1726,1.0,0.376,0.0531,0.0225,-0.6375,0.0879,0.6045,-0.3606,-0.0346,-0.2243,-0.1119,0.0235
-0.1548,-0.1044,0.0116,-0.0297,-0.2952,0.376,1.0,0.1295,0.051,-0.2629,0.1154,0.1903,-0.0997,0.0189,-0.3098,0.1448,-0.0279
0.4925,-0.6136,-0.6422,0.6282,-0.5943,0.0531,0.1295,1.0,0.5751,-0.0657,-0.0623,0.3643,-0.1935,0.3104,0.0694,0.344,-0.1304
0.1917,0.2314,-0.3404,0.385,-0.1047,0.0225,0.051,0.5751,1.0,0.2077,-0.2466,0.2095,-0.4329,0.7318,0.1017,0.357,-0.0587
0.4411,0.2546,-0.3828,0.4235,0.286,-0.6375,-0.2629,-0.0657,0.2077,1.0,-0.1208,-0.6172,0.3699,0.089,0.1241,0.2041,0.0808
-0.1042,-0.1457,0.0987,-0.2424,0.0085,0.0879,0.1154,-0.0623,-0.2466,-0.1208,1.0,-0.034,0.023,-0.1627,-0.0033,-0.1837,0.1691
-0.2803,-0.2235,0.1648,-0.1563,-0.2512,0.6045,0.1903,0.3643,0.2095,-0.6172,-0.034,1.0,-0.6057,0.2043,-0.0939,0.0317,-0.038
0.394,-0.2067,-0.2249,0.2142,0.0437,-0.3606,-0.0997,-0.1935,-0.4329,0.3699,0.023,-0.6057,1.0,-0.3483,0.0739,0.0688,-0.0871
0.049,0.2926,-0.2211,0.21,0.0095,-0.0346,0.0189,0.3104,0.7318,0.089,-0.1627,0.2043,-0.3483,1.0,0.0234,0.2433,0.0925
0.2072,0.0316,-0.1556,0.1639,0.0633,-0.2243,-0.3098,0.0694,0.1017,0.1241,-0.0033,-0.0939,0.0739,0.0234,1.0,0.0201,-0.2065
0.455,-0.1359,-0.5147,0.5749,-0.3498,-0.1119,0.1448,0.344,0.357,0.2041,-0.1837,0.0317,0.0688,0.2433,0.0201,1.0,-0.0272
-0.1091,0.0585,0.1135,-0.1382,0.0483,0.0235,-0.0279,-0.1304,-0.0587,0.0808,0.1691,-0.038,-0.0871,0.0925,-0.2065,-0.0272,1.0
